split,class_name,samples,percentage
test,Asthma,43,9.388646288209607
test,Bronchitis,15,3.2751091703056767
test,COPD,298,65.06550218340611
test,Healthy,54,11.790393013100436
test,Pneumonia,48,10.480349344978166
train,Asthma,200,3.515556336790297
train,Bronchitis,74,1.30075584461241
train,COPD,4682,82.29917384426085
train,Healthy,311,5.4666901037089115
train,Pneumonia,422,7.417823870627527
validation,Asthma,45,3.202846975088968
validation,Bronchitis,15,1.0676156583629892
validation,COPD,1167,83.06049822064057
validation,Healthy,84,5.9786476868327405
validation,Pneumonia,94,6.690391459074733
