split,source,class_name,samples
test,Asthma_V2,Asthma,43
test,Asthma_V2,Bronchitis,15
test,Asthma_V2,COPD,104
test,Asthma_V2,Healthy,22
test,Asthma_V2,Pneumonia,48
test,ICBHI,COPD,194
test,ICBHI,Healthy,32
train,Asthma_V2,Asthma,200
train,Asthma_V2,Bronchitis,74
train,Asthma_V2,COPD,241
train,Asthma_V2,Healthy,90
train,Asthma_V2,Pneumonia,189
train,ICBHI,COPD,4441
train,ICBHI,Healthy,221
train,ICBHI,Pneumonia,233
validation,Asthma_V2,Asthma,45
validation,Asthma_V2,Bronchitis,15
validation,Asthma_V2,COPD,56
validation,Asthma_V2,Healthy,15
validation,Asthma_V2,Pneumonia,42
validation,ICBHI,COPD,1111
validation,ICBHI,Healthy,69
validation,ICBHI,Pneumonia,52
