split,source,source_class,class_name,samples
test,Asthma_V2,Bronchial,Bronchitis,15
test,Asthma_V2,asthma,Asthma,43
test,Asthma_V2,copd,COPD,104
test,Asthma_V2,healthy,Healthy,22
test,Asthma_V2,pneumonia,Pneumonia,48
test,ICBHI,COPD,COPD,194
test,ICBHI,Healthy,Healthy,32
train,Asthma_V2,Bronchial,Bronchitis,74
train,Asthma_V2,asthma,Asthma,200
train,Asthma_V2,copd,COPD,241
train,Asthma_V2,healthy,Healthy,90
train,Asthma_V2,pneumonia,Pneumonia,189
train,ICBHI,COPD,COPD,4441
train,ICBHI,Healthy,Healthy,221
train,ICBHI,Pneumonia,Pneumonia,233
validation,Asthma_V2,Bronchial,Bronchitis,15
validation,Asthma_V2,asthma,Asthma,45
validation,Asthma_V2,copd,COPD,56
validation,Asthma_V2,healthy,Healthy,15
validation,Asthma_V2,pneumonia,Pneumonia,42
validation,ICBHI,COPD,COPD,1111
validation,ICBHI,Healthy,Healthy,69
validation,ICBHI,Pneumonia,Pneumonia,52
