patient_group,target_source,target_class,reference_source,reference_class,patient_count,cosine_similarity
ICBHI_134,ICBHI,COPD,Asthma_V2,Asthma,40,-0.16920247673988342
ICBHI_134,ICBHI,COPD,Asthma_V2,Bronchitis,15,-0.223194420337677
ICBHI_134,ICBHI,COPD,Asthma_V2,COPD,31,-0.06737302243709564
ICBHI_134,ICBHI,COPD,Asthma_V2,Healthy,19,-0.0981556847691536
ICBHI_134,ICBHI,COPD,Asthma_V2,Pneumonia,32,0.9345828890800476
ICBHI_134,ICBHI,COPD,ICBHI,COPD,50,0.005385148338973522
ICBHI_134,ICBHI,COPD,ICBHI,Healthy,18,-0.12650831043720245
ICBHI_134,ICBHI,COPD,ICBHI,Pneumonia,5,0.9474838972091675
ICBHI_141,ICBHI,COPD,Asthma_V2,Asthma,40,-0.17187166213989258
ICBHI_141,ICBHI,COPD,Asthma_V2,Bronchitis,15,0.1084819957613945
ICBHI_141,ICBHI,COPD,Asthma_V2,COPD,31,0.886716365814209
ICBHI_141,ICBHI,COPD,Asthma_V2,Healthy,19,-0.19364753365516663
ICBHI_141,ICBHI,COPD,Asthma_V2,Pneumonia,32,-0.08358235657215118
ICBHI_141,ICBHI,COPD,ICBHI,COPD,50,0.9090628623962402
ICBHI_141,ICBHI,COPD,ICBHI,Healthy,18,-0.10852430760860443
ICBHI_141,ICBHI,COPD,ICBHI,Pneumonia,5,-0.056532979011535645
ICBHI_199,ICBHI,COPD,Asthma_V2,Asthma,40,-0.13038918375968933
ICBHI_199,ICBHI,COPD,Asthma_V2,Bronchitis,15,-0.19688454270362854
ICBHI_199,ICBHI,COPD,Asthma_V2,COPD,31,0.24751771986484528
ICBHI_199,ICBHI,COPD,Asthma_V2,Healthy,19,0.54775071144104
ICBHI_199,ICBHI,COPD,Asthma_V2,Pneumonia,32,-0.04286206513643265
ICBHI_199,ICBHI,COPD,ICBHI,COPD,50,0.23741430044174194
ICBHI_199,ICBHI,COPD,ICBHI,Healthy,18,0.5958970785140991
ICBHI_199,ICBHI,COPD,ICBHI,Pneumonia,5,-0.0015126876533031464
