device,split,class_name,cycle_count
AKGC417L,test,COPD,71
AKGC417L,train,COPD,3505
AKGC417L,validation,COPD,770
Litt3200,test,COPD,48
Litt3200,train,COPD,358
Litt3200,validation,COPD,96
LittC2SE,test,COPD,30
LittC2SE,train,COPD,232
LittC2SE,train,Pneumonia,213
LittC2SE,validation,COPD,61
LittC2SE,validation,Pneumonia,52
Meditron,test,COPD,45
Meditron,test,Healthy,32
Meditron,train,COPD,346
Meditron,train,Healthy,221
Meditron,train,Pneumonia,20
Meditron,validation,COPD,184
Meditron,validation,Healthy,69
