cap_per_patient,class_name,patients,raw_cycles,capped_cycles,retained_percent
5,Healthy,35,322,172,53.42
5,COPD,793,5746,3868,67.32
5,Pneumonia,37,285,185,64.91
10,Healthy,35,322,291,90.37
10,COPD,793,5746,5399,93.96
10,Pneumonia,37,285,283,99.3
15,Healthy,35,322,317,98.45
15,COPD,793,5746,5632,98.02
15,Pneumonia,37,285,285,100.0
20,Healthy,35,322,322,100.0
20,COPD,793,5746,5704,99.27
20,Pneumonia,37,285,285,100.0
25,Healthy,35,322,322,100.0
25,COPD,793,5746,5733,99.77
25,Pneumonia,37,285,285,100.0
30,Healthy,35,322,322,100.0
30,COPD,793,5746,5743,99.95
30,Pneumonia,37,285,285,100.0
40,Healthy,35,322,322,100.0
40,COPD,793,5746,5746,100.0
40,Pneumonia,37,285,285,100.0
50,Healthy,35,322,322,100.0
50,COPD,793,5746,5746,100.0
50,Pneumonia,37,285,285,100.0
