cap_per_patient,class_name,patients,raw_cycles,capped_cycles,cycles_removed,retained_percent
5,Healthy,26,322,129,193,40.06
5,COPD,64,5746,320,5426,5.57
5,Pneumonia,6,285,30,255,10.53
10,Healthy,26,322,232,90,72.05
10,COPD,64,5746,622,5124,10.82
10,Pneumonia,6,285,60,225,21.05
15,Healthy,26,322,282,40,87.58
15,COPD,64,5746,913,4833,15.89
15,Pneumonia,6,285,90,195,31.58
20,Healthy,26,322,300,22,93.17
20,COPD,64,5746,1190,4556,20.71
20,Pneumonia,6,285,120,165,42.11
25,Healthy,26,322,305,17,94.72
25,COPD,64,5746,1453,4293,25.29
25,Pneumonia,6,285,149,136,52.28
30,Healthy,26,322,310,12,96.27
30,COPD,64,5746,1713,4033,29.81
30,Pneumonia,6,285,170,115,59.65
40,Healthy,26,322,320,2,99.38
40,COPD,64,5746,2205,3541,38.37
40,Pneumonia,6,285,201,84,70.53
50,Healthy,26,322,322,0,100.0
50,COPD,64,5746,2653,3093,46.17
50,Pneumonia,6,285,221,64,77.54
