split,class_name,source,samples,patient_groups
test,Asthma,Asthma_V2,40,8
test,Bronchial,Asthma_V2,14,3
test,COPD,Asthma_V2,64,8
test,COPD,ICBHI,1018,10
test,Healthy,Asthma_V2,7,2
test,Healthy,ICBHI,84,6
test,Pneumonia,Asthma_V2,48,8
train,Asthma,Asthma_V2,205,41
train,Bronchial,Asthma_V2,75,15
train,COPD,Asthma_V2,273,35
train,COPD,ICBHI,3775,45
train,Healthy,Asthma_V2,95,20
train,Healthy,ICBHI,211,17
train,Pneumonia,Asthma_V2,195,33
train,Pneumonia,ICBHI,121,4
validation,Asthma,Asthma_V2,43,9
validation,Bronchial,Asthma_V2,15,3
validation,COPD,Asthma_V2,64,8
validation,COPD,ICBHI,953,9
validation,Healthy,Asthma_V2,25,5
validation,Healthy,ICBHI,27,3
validation,Pneumonia,Asthma_V2,36,6
validation,Pneumonia,ICBHI,164,2
